id	pop	urban	black	white	asian	native	highschool	college	income	age
9009	860874	96.36	12.87	74.85	3.92	0.20	87.7	31.7	41768	39.8
9011	272033	74.19	5.71	81.39	4.15	0.59	89.8	30.6	41387	40.9
9013	151689	61.79	3.01	89.14	4.17	0.05	92.2	36.8	47221	37.8
9015	117078	50.24	2.30	89.80	1.33	0.58	84.5	21.3	36523	40.7
10001	171474	73.03	24.55	67.04	2.00	0.65	84.9	20	35309	37.2
10003	551997	95.4	24.37	65.08	5.18	0.24	88.4	32.4	41176	37.6
10005	211224	58.7	12.51	81.80	1.14	0.48	85.2	21.2	30804	47.6
11001	659009	100	48.35	40.37	3.65	0.33	86.5	49.2	48881	33.8
12001	256581	78.81	19.86	69.64	5.81	0.31	89.7	40.9	33092	31
12003	27312	40.51	13.91	83.60	0.65	0.35	78.4	6.2	31592	36.5
12005	178361	88	10.76	82.13	2.25	0.69	86.3	20.4	30891	39.7
12007	26919	24.47	19.37	78.13	0.62	0.10	76.4	8.6	28918	41
12009	560683	94.93	10.22	83.14	2.37	0.29	90.6	26.2	32803	47
12011	1863780	99.98	28.18	61.89	3.52	0.25	87.1	29.6	34581	40
12013	14550	32.49	13.29	80.55	0.64	0.89	74.1	11.6	26348	40.6
12015	169642	91.12	5.75	90.06	1.16	0.20	88.3	21.3	28099	57.7
12017	140453	65.48	3.02	93.30	1.62	0.31	85	16.5	24771	55.7
12019	200346	85.03	9.87	81.68	3.03	0.15	90.3	23.8	36920	39.4
12021	348236	91.51	6.98	87.90	1.29	0.31	84.8	30.8	30469	49.2
12023	68198	37.94	17.76	77.28	0.85	0.17	82	14.9	28667	40.7
12027	35134	53.76	13.06	82.66	0.23	0.27	67.5	11.6	21383	40.2
12029	16084	22.98	7.59	87.65	0.40	0.40	72.6	6.2	27403	46.3
12031	900890	97.09	29.41	61.16	4.41	0.22	87.2	24.9	33556	36
12033	309574	91.7	21.75	68.64	2.92	0.44	86.7	23.4	29407	37.1
12035	102917	89.68	10.94	81.77	2.36	0.14	90.2	22	30644	50.1
12037	11705	31.96	14.43	82.17	0.32	0.56	78.3	18.8	23693	43.8
12039	46153	34.62	55.72	40.87	0.45	0.11	75.7	12.3	28260	40.3
12041	17033	16.08	6.22	91.88	0.09	0.20	81.1	8.6	26367	42.3
12043	13420	29.36	12.65	80.03	0.65	4.03	71.3	11.3	26609	45.1
12045	15851	22.91	18.60	78.17	0.59	0.45	77.7	13.6	27885	44.5
12047	14362	36.52	34.35	60.01	0.37	0.75	73.9	7.8	27428	40.9
12049	27302	52.19	7.95	82.26	0.58	0.18	59.9	7.5	22197	34.3
12051	38376	62.11	11.93	76.16	0.94	2.18	62	8.2	21532	33.8
12053	176797	80.62	5.26	89.61	1.11	0.23	85.6	16.2	29115	48.9
